Group.1	CI	CIII	CIV	CI+CIII	CI+CIV	CIII+CIV	All	None
P01	0	0.0112540192926045	0	0	0.135048231511254	0	0.101286173633441	0.713826366559486
P02	0	0.00928074245939675	0	0	0.331786542923434	0	0.0835266821345708	0.552204176334107
P03	0	0.0130718954248366	0	0	0.0222222222222222	0	0.0248366013071895	0.938562091503268
P04	0	0.00333611342785655	0	0	0.00834028356964137	0	0.00500417014178482	0.979983319432861
P05	0	0.00959232613908873	0	0	0.155875299760192	0	0.129496402877698	0.669064748201439
P06	0	0.016366612111293	0	0	0.117839607201309	0	0.198036006546645	0.657937806873977
P07	0	0.00662251655629139	0	0	0.23841059602649	0	0.119205298013245	0.602649006622517
P09	0	0.0175131348511384	0	0	0.0297723292469352	0	0.0472854640980736	0.889667250437828
P10	0	0.0104712041884817	0	0	0.0959860383944154	0	0.101221640488656	0.773123909249564
P11	0	0.00350467289719626	0	0	0.0280373831775701	0	0.0151869158878505	0.952102803738318
P12	0	0.0222222222222222	0	0	0.0761904761904762	0	0.0507936507936508	0.825396825396825
